vehicle_id,location_coordinates,cost,damage_type,timestamp
1,"('50.0502', '-40.2437')",1,0A00,2023-02-01 01:00:00
2,"('51.0502', '-41.2437')",101,1A00,2023-02-02 01:01:00
3,"('52.0502', '-42.2437')",201,2A00,2023-02-03 01:00:00
4,"('53.0502', '-43.2437')",301,3A00,2023-02-04 01:01:00
5,"('54.0502', '-44.2437')",401,4A00,2023-02-05 01:00:00
1,"('55.0502', '-45.2437')",1,0A00,2023-02-06 01:01:00
2,"('56.0502', '-46.2437')",101,1A00,2023-02-07 01:00:00
3,"('57.0502', '-47.2437')",201,2A00,2023-02-08 01:01:00
4,"('58.0502', '-48.2437')",301,3A00,2023-02-09 01:00:00
5,"('59.0502', '-49.2437')",401,4A00,2023-02-10 01:01:00
1,"('60.0502', '-50.2437')",1,0A00,2023-02-11 01:00:00
2,"('61.0502', '-51.2437')",101,1A00,2023-02-12 01:01:00
3,"('62.0502', '-52.2437')",201,2A00,2023-02-13 01:00:00
4,"('63.0502', '-53.2437')",301,3A00,2023-02-14 01:01:00
5,"('64.05019999999999', '-54.2437')",401,4A00,2023-02-15 01:00:00
1,"('65.05019999999999', '-55.2437')",1,0A00,2023-02-16 01:01:00
2,"('66.05019999999999', '-56.2437')",101,1A00,2023-02-17 01:00:00
3,"('67.05019999999999', '-57.2437')",201,2A00,2023-02-18 01:01:00
4,"('68.05019999999999', '-58.2437')",301,3A00,2023-02-19 01:00:00
5,"('69.05019999999999', '-59.2437')",401,4A00,2023-02-20 01:01:00
1,"('50.0502', '-40.2437')",1,0A00,2023-02-21 01:00:00
2,"('51.0502', '-41.2437')",101,1A00,2023-02-22 01:01:00
3,"('52.0502', '-42.2437')",201,2A00,2023-02-23 01:00:00
4,"('53.0502', '-43.2437')",301,3A00,2023-02-24 01:01:00
5,"('54.0502', '-44.2437')",401,4A00,2023-02-25 01:00:00
1,"('55.0502', '-45.2437')",1,0A00,2023-02-26 01:01:00
2,"('56.0502', '-46.2437')",101,1A00,2023-02-27 01:00:00
3,"('57.0502', '-47.2437')",201,2A00,2023-02-28 01:01:00
4,"('58.0502', '-48.2437')",301,3A00,2023-03-01 01:00:00
5,"('59.0502', '-49.2437')",401,4A00,2023-03-02 01:01:00
1,"('60.0502', '-50.2437')",1,0A00,2023-03-03 01:00:00
2,"('61.0502', '-51.2437')",101,1A00,2023-03-04 01:01:00
3,"('62.0502', '-52.2437')",201,2A00,2023-03-05 01:00:00
4,"('63.0502', '-53.2437')",301,3A00,2023-03-06 01:01:00
5,"('64.05019999999999', '-54.2437')",401,4A00,2023-03-07 01:00:00
1,"('65.05019999999999', '-55.2437')",1,0A00,2023-03-08 01:01:00
2,"('66.05019999999999', '-56.2437')",101,1A00,2023-03-09 01:00:00
3,"('67.05019999999999', '-57.2437')",201,2A00,2023-03-10 01:01:00
4,"('68.05019999999999', '-58.2437')",301,3A00,2023-03-11 01:00:00
5,"('69.05019999999999', '-59.2437')",401,4A00,2023-03-12 01:01:00
1,"('50.0502', '-40.2437')",1,0A00,2023-03-13 01:00:00
2,"('51.0502', '-41.2437')",101,1A00,2023-03-14 01:01:00
3,"('52.0502', '-42.2437')",201,2A00,2023-03-15 01:00:00
4,"('53.0502', '-43.2437')",301,3A00,2023-03-16 01:01:00
5,"('54.0502', '-44.2437')",401,4A00,2023-03-17 01:00:00
1,"('55.0502', '-45.2437')",1,0A00,2023-03-18 01:01:00
2,"('56.0502', '-46.2437')",101,1A00,2023-03-19 01:00:00
3,"('57.0502', '-47.2437')",201,2A00,2023-03-20 01:01:00
4,"('58.0502', '-48.2437')",301,3A00,2023-03-21 01:00:00
5,"('59.0502', '-49.2437')",401,4A00,2023-03-22 01:01:00
1,"('60.0502', '-50.2437')",1,0A00,2023-03-23 01:00:00
2,"('61.0502', '-51.2437')",101,1A00,2023-03-24 01:01:00
3,"('62.0502', '-52.2437')",201,2A00,2023-03-25 01:00:00
4,"('63.0502', '-53.2437')",301,3A00,2023-03-26 01:01:00
5,"('64.05019999999999', '-54.2437')",401,4A00,2023-03-27 01:00:00
1,"('65.05019999999999', '-55.2437')",1,0A00,2023-03-28 01:01:00
2,"('66.05019999999999', '-56.2437')",101,1A00,2023-03-29 01:00:00
3,"('67.05019999999999', '-57.2437')",201,2A00,2023-03-30 01:01:00
4,"('68.05019999999999', '-58.2437')",301,3A00,2023-03-31 01:00:00
5,"('69.05019999999999', '-59.2437')",401,4A00,2023-04-01 01:01:00
1,"('50.0502', '-40.2437')",1,0A00,2023-04-02 01:00:00
2,"('51.0502', '-41.2437')",101,1A00,2023-04-03 01:01:00
3,"('52.0502', '-42.2437')",201,2A00,2023-04-04 01:00:00
4,"('53.0502', '-43.2437')",301,3A00,2023-04-05 01:01:00
5,"('54.0502', '-44.2437')",401,4A00,2023-04-06 01:00:00
1,"('55.0502', '-45.2437')",1,0A00,2023-04-07 01:01:00
2,"('56.0502', '-46.2437')",101,1A00,2023-04-08 01:00:00
3,"('57.0502', '-47.2437')",201,2A00,2023-04-09 01:01:00
4,"('58.0502', '-48.2437')",301,3A00,2023-04-10 01:00:00
5,"('59.0502', '-49.2437')",401,4A00,2023-04-11 01:01:00
1,"('60.0502', '-50.2437')",1,0A00,2023-04-12 01:00:00
2,"('61.0502', '-51.2437')",101,1A00,2023-04-13 01:01:00
3,"('62.0502', '-52.2437')",201,2A00,2023-04-14 01:00:00
4,"('63.0502', '-53.2437')",301,3A00,2023-04-15 01:01:00
5,"('64.05019999999999', '-54.2437')",401,4A00,2023-04-16 01:00:00
1,"('65.05019999999999', '-55.2437')",1,0A00,2023-04-17 01:01:00
2,"('66.05019999999999', '-56.2437')",101,1A00,2023-04-18 01:00:00
3,"('67.05019999999999', '-57.2437')",201,2A00,2023-04-19 01:01:00
4,"('68.05019999999999', '-58.2437')",301,3A00,2023-04-20 01:00:00
5,"('69.05019999999999', '-59.2437')",401,4A00,2023-04-21 01:01:00
1,"('50.0502', '-40.2437')",1,0A00,2023-04-22 01:00:00
2,"('51.0502', '-41.2437')",101,1A00,2023-04-23 01:01:00
3,"('52.0502', '-42.2437')",201,2A00,2023-04-24 01:00:00
4,"('53.0502', '-43.2437')",301,3A00,2023-04-25 01:01:00
5,"('54.0502', '-44.2437')",401,4A00,2023-04-26 01:00:00
1,"('55.0502', '-45.2437')",1,0A00,2023-04-27 01:01:00
2,"('56.0502', '-46.2437')",101,1A00,2023-04-28 01:00:00
3,"('57.0502', '-47.2437')",201,2A00,2023-04-29 01:01:00
4,"('58.0502', '-48.2437')",301,3A00,2023-04-30 01:00:00
5,"('59.0502', '-49.2437')",401,4A00,2023-05-01 01:01:00
1,"('60.0502', '-50.2437')",1,0A00,2023-05-02 01:00:00
2,"('61.0502', '-51.2437')",101,1A00,2023-05-03 01:01:00
3,"('62.0502', '-52.2437')",201,2A00,2023-05-04 01:00:00
4,"('63.0502', '-53.2437')",301,3A00,2023-05-05 01:01:00
5,"('64.05019999999999', '-54.2437')",401,4A00,2023-05-06 01:00:00
1,"('65.05019999999999', '-55.2437')",1,0A00,2023-05-07 01:01:00
2,"('66.05019999999999', '-56.2437')",101,1A00,2023-05-08 01:00:00
3,"('67.05019999999999', '-57.2437')",201,2A00,2023-05-09 01:01:00
4,"('68.05019999999999', '-58.2437')",301,3A00,2023-05-10 01:00:00
5,"('69.05019999999999', '-59.2437')",401,4A00,2023-05-11 01:01:00
